0	0	10
1.428	0.04628	9.929
2.874	0.2062	9.823
4.258	0.4659	9.707
5.18	0.7078	9.645
5.991	0.965	9.638
6.997	1.316	9.697
9.798	2.309	9.892
11	2.778	9.909
12.21	3.416	9.885
13.45	4.211	9.817
14.14	4.736	9.768
14.64	5.202	9.724
15.31	5.96	9.653
15.74	6.53	9.608
16.22	7.29	9.564
17.87	10.12	9.543
18.25	11.09	9.571
19.1	13.51	9.615
19.69	15.3	9.621
20.27	17.42	9.527
20.63	18.91	9.451
20.8	19.79	9.396
20.89	20.57	9.337
20.89	21.29	9.28
20.79	22.25	9.202
20.63	23.13	9.124
20.25	24.3	9.02
19.81	25.23	8.949
19.04	26.45	8.907
18.21	27.4	8.899
17.26	28.3	8.907
16.29	29.14	8.871
15.38	29.78	8.84
14.11	30.43	8.826
12.9	30.96	8.886
11.13	31.5	9.085
10.41	31.62	9.126
9.463	31.69	9.155
8.369	31.68	9.199
