0	-0
0.27	0.004225
0.34	0.01421
0.39	0.02954
0.43	0.04998
0.47	0.08121
0.51	0.1279
0.55	0.1948
0.59	0.2851
0.64	0.4297
0.78	0.8762
0.81	0.9349
0.84	0.9697
0.87	0.9842
0.9	0.983
0.93	0.969
0.98	0.9306
1.08	0.8436
1.14	0.8101
1.19	0.7971
1.23	0.7953
1.26	0.8036
1.3	0.8278
1.35	0.8739
1.4	0.9208
1.43	0.9373
1.46	0.94
1.49	0.9301
1.67	0.8522
1.72	0.8476
1.76	0.8505
1.99	0.9228
2.05	0.9194
2.13	0.9016
2.17	0.8813
2.22	0.8383
2.24	0.826
2.26	0.8223
2.28	0.8255
2.36	0.8548
2.39	0.8765
2.48	0.9603
2.5	0.9664
2.52	0.9651
2.54	0.9553
2.58	0.9312
2.61	0.9267
2.65	0.9218
2.72	0.8996
2.75	0.9061
2.78	0.9256
2.85	0.9943
2.88	1.005
2.9	1.003
2.93	0.9845
2.98	0.9295
3.01	0.9026
3.04	0.8901
3.08	0.8818
3.11	0.8861
3.13	0.8965
3.16	0.9297
3.22	0.9968
3.25	1.018
3.27	1.025
3.32	1.025
3.35	1.019
3.4	0.9923
3.44	0.9788
3.55	0.949
3.58	0.963
3.61	0.9818
3.69	1.06
3.82	1.119
3.92	1.146
3.94	1.153
4.01	1.163
4.07	1.149
4.09	1.146
4.15	1.141
4.18	1.135
4.23	1.134
4.26	1.114
4.34	1.049
4.39	1.026
4.43	1.033
4.49	1.06
4.56	1.124
4.59	1.134
4.61	1.129
4.66	1.088
4.68	1.088
4.78	1.136
4.8	1.13
4.82	1.119
4.85	1.096
4.87	1.089
4.9	1.086
4.93	1.088
4.96	1.086
4.99	1.079
5.02	1.07
5.04	1.073
5.13	1.142
5.19	1.148
5.22	1.137
5.25	1.121
5.3	1.117
5.33	1.112
5.36	1.096
5.42	1.064
5.49	1.044
5.51	1.048
5.54	1.075
5.58	1.127
5.7	1.268
5.77	1.361
5.79	1.371
5.84	1.372
5.9	1.364
5.93	1.368
5.95	1.383
5.99	1.431
6.08	1.551
6.12	1.586
6.16	1.61
6.18	1.611
6.21	1.59
6.24	1.57
6.3	1.543
6.33	1.535
6.34	1.536
6.37	1.53
6.45	1.541
6.47	1.525
6.5	1.48
6.53	1.431
6.56	1.402
6.61	1.363
6.7	1.247
6.74	1.232
6.78	1.233
6.81	1.243
6.87	1.277
6.9	1.279
6.93	1.267
6.97	1.245
7.04	1.209
7.06	1.198
7.1	1.182
7.18	1.148
7.2	1.155
7.24	1.187
7.29	1.23
7.32	1.244
7.36	1.256
7.39	1.262
7.43	1.248
7.46	1.228
7.56	1.181
7.6	1.15
7.67	1.094
7.76	1.04
7.82	0.9806
