0	0	10
1.299	0.05461	9.939
2.638	0.211	9.855
4.003	0.4758	9.761
5.005	0.7469	9.702
5.794	1.012	9.697
6.722	1.371	9.74
8.129	1.971	9.813
9.978	2.952	9.79
10.47	3.321	9.767
11.21	3.991	9.722
11.92	4.755	9.671
12.65	5.647	9.624
13.01	6.219	9.598
13.94	7.948	9.54
14.69	9.535	9.516
15.08	10.42	9.503
15.32	11.11	9.499
15.49	11.89	9.504
15.76	13.4	9.504
16.03	15.66	9.496
16.06	16.35	9.486
15.99	17.93	9.455
15.92	19.23	9.365
15.87	20.61	9.152
15.78	21.54	8.946
15.52	22.41	8.782
15.03	23.4	8.619
14.16	24.59	8.549
13.06	25.68	8.688
11.77	26.86	8.903
10.58	27.89	9.067
9.463	28.75	9.172
8.577	29.29	9.251
7.153	30.01	9.335
5.863	30.59	9.398
4.582	31	9.461
3.583	31.24	9.47
2.052	31.47	9.481
1.087	31.55	9.486
