0	0	10
0.9289	0.02028	10
2.622	0.1708	10.01
3.987	0.4078	9.99
5.005	0.6633	9.992
5.77	0.9037	10.04
6.707	1.242	10.14
8.072	1.797	10.29
9.626	2.549	10.35
10.22	2.891	10.36
10.72	3.283	10.35
11.53	3.995	10.33
12.44	4.937	10.29
12.91	5.487	10.27
13.29	6.066	10.25
14.3	7.879	10.2
14.82	8.923	10.18
15.37	10.06	10.17
15.68	10.92	10.16
15.9	11.92	10.17
16.21	13.7	10.15
16.37	14.69	10.14
16.5	15.96	10.13
16.48	17.62	10.08
16.46	19.72	9.928
16.46	20.56	9.803
16.39	21.42	9.64
16.25	22.03	9.52
15.83	22.99	9.333
15.4	23.79	9.21
14.92	24.5	9.175
13.54	25.99	9.289
12.5	26.95	9.388
11.27	28.02	9.484
10.05	28.96	9.544
9.189	29.47	9.59
6.477	30.75	9.73
5.197	31.15	9.809
4.118	31.39	9.819
2.239	31.65	9.869
1.703	31.68	9.876
