0	0	10
1.337	0.0436	9.935
2.737	0.1969	9.839
4.114	0.4552	9.73
5.081	0.7117	9.664
5.894	0.978	9.652
6.838	1.332	9.688
8.306	1.95	9.768
10.16	2.91	9.748
10.71	3.328	9.714
11.44	3.967	9.656
12.21	4.76	9.582
12.79	5.432	9.528
13.17	6	9.486
14.06	7.547	9.387
15.31	10.22	9.268
15.54	10.88	9.247
15.73	11.69	9.232
15.99	13.16	9.197
16.3	15.63	9.14
16.31	16.23	9.122
16.24	18.23	9.032
16.2	19.42	8.897
16.2	20.38	8.719
16.1	21.48	8.485
15.89	22.19	8.353
15.39	23.17	8.179
14.52	24.38	8.079
10.99	27.8	8.339
9.754	28.77	8.408
8.903	29.29	8.455
6.547	30.45	8.58
5.23	30.91	8.666
4.225	31.16	8.7
2.815	31.4	8.735
1.635	31.51	8.769
1.556	31.52	8.77
