0	0	10
1	0.03229	10
2.569	0.1914	10.01
3.971	0.4507	10
5.015	0.7266	10
5.786	0.9799	10.04
6.899	1.4	10.17
8.21	1.973	10.28
10.21	3.067	10.28
10.74	3.519	10.26
11.43	4.167	10.22
12.34	5.158	10.17
12.78	5.705	10.15
13.14	6.294	10.13
14.24	8.382	10.07
14.75	9.429	10.07
15.18	10.35	10.06
15.47	11.19	10.05
15.67	12.18	10.07
15.96	13.94	10.06
16.1	14.86	10.05
16.22	16	10.05
16.22	16.53	10.04
16.12	19.65	9.893
16.1	20.93	9.72
16.03	21.69	9.575
15.88	22.23	9.464
13.94	25.32	9.204
11.83	27.22	9.571
10.96	27.95	9.672
9.813	28.83	9.748
9.004	29.32	9.798
7.821	29.92	9.854
6.073	30.71	9.938
4.706	31.13	10
3.674	31.36	9.994
1.617	31.63	10.01
1.18	31.65	10.01
