0	0	10
1.279	0.05144	10
2.519	0.2007	10
3.715	0.4397	10
4.861	0.7605	10
5.961	1.158	10
7.002	1.623	10
7.981	2.146	10
8.896	2.718	10
9.755	3.34	10
10.56	4.004	10
11.3	4.704	10
11.98	5.443	10
12.62	6.216	10
13.2	7.028	10
13.73	7.874	10
14.22	8.761	10
14.65	9.687	10
15.02	10.66	10
15.34	11.67	10
15.59	12.72	10
15.78	13.81	10
15.89	14.95	10
15.91	16.12	10
15.85	17.31	10
15.7	18.52	10
15.45	19.75	10
15.09	20.97	10
14.63	22.18	10
14.06	23.37	10
13.38	24.53	10
12.6	25.64	10
11.72	26.69	10
10.75	27.65	10
9.691	28.54	10
8.562	29.33	10
7.368	30.02	10
6.128	30.6	10
4.842	31.08	10
3.53	31.43	10
2.213	31.68	10
0.8995	31.81	10
-3.553e-15	31.83	10
