0	-0
0.73	-0.004207
0.83	-0.01322
0.91	-0.02914
0.99	-0.05535
1.1	-0.09198
1.15	-0.09995
1.21	-0.1005
1.29	-0.09262
1.46	-0.06408
1.66	-0.02254
1.88	0.03022
2.08	0.07825
2.23	0.1161
2.47	0.1899
2.58	0.2331
3.1	0.453
3.21	0.4846
3.29	0.5023
3.39	0.5158
3.52	0.518
3.7	0.5228
3.79	0.5286
4	0.5297
4.05	0.5335
4.12	0.522
4.3	0.4743
4.51	0.4132
4.73	0.3788
4.98	0.3501
5.12	0.3406
5.2	0.3199
5.43	0.259
5.52	0.2561
5.64	0.2574
5.69	0.2462
5.82	0.2099
5.96	0.1835
6.06	0.1787
6.16	0.1839
6.44	0.2036
6.58	0.2153
6.74	0.2241
6.8	0.2341
6.87	0.2476
6.92	0.2491
6.98	0.2403
7.08	0.2264
7.14	0.2285
7.29	0.2366
7.47	0.2146
7.77	0.2097
8.01	0.2277
8.03	0.2321
8.06	0.2394
8.11	0.2391
8.23	0.2314
8.24	0.117
8.26	0.09739
8.28	0.09536
8.29	0.09588
8.3	0.09062
8.33	0.08842
8.35	0.08123
8.37	0.08543
8.41	0.08283
8.42	0.07867
8.46	0.03826
8.52	0.02995
8.53	0.03629
8.56	0.03267
8.58	0.02019
8.61	0.009199
8.68	-0.04018
8.71	-0.05048
8.76	-0.068
8.77	-0.06937
8.84	-0.04201
8.85	-0.03747
8.87	-0.02405
8.88	-0.01755
8.89	-0.02227
8.91	-0.04907
8.94	-0.07915
8.98	-0.09925
9.02	-0.09362
9.04	-0.09072
9.05	-0.08384
9.07	-0.08078
9.12	-0.05118
9.17	-0.006507
9.21	-0.003101
9.22	0.005866
9.28	0.02023
9.32	0.01859
9.35	-0.005736
9.36	-0.01097
9.4	-0.007462
9.44	0.009728
9.51	0.03072
9.54	0.06291
9.59	0.06907
9.61	0.05576
9.64	0.03126
9.66	0.02655
9.69	0.02916
9.71	0.02022
9.72	0.02279
9.74	0.03982
9.76	0.06291
9.78	0.07462
9.83	0.08427
9.87	0.08034
9.9	0.08341
9.94	0.0881
9.97	0.09898
9.98	0.1069
10.06	0.1238
10.08	0.1207
10.1	0.122
10.12	0.1124
10.13	0.105
10.15	0.108
10.21	0.105
10.24	0.1089
10.26	0.1006
10.29	0.1023
10.31	0.1126
10.33	0.1088
10.39	0.09496
10.41	0.07527
10.42	0.07168
10.46	0.074
10.47	0.06946
10.48	0.07169
10.51	0.09042
10.55	0.1078
10.61	0.1523
10.62	0.1527
10.66	0.1735
10.68	0.1686
10.7	0.1827
10.71	0.1916
10.74	0.2036
10.77	0.2138
10.84	0.2187
10.85	0.2283
10.91	0.2381
10.95	0.237
10.97	0.244
11.1	0.2513
11.15	0.2533
11.16	0.2468
11.18	0.2245
11.19	0.2225
11.21	0.225
11.24	0.2231
11.28	0.2399
11.29	0.2369
11.3	0.2386
11.32	0.2268
11.37	0.1702
11.39	0.159
11.42	0.1475
11.44	0.1282
11.46	0.12
11.48	0.1244
11.5	0.126
11.51	0.1248
11.54	0.1036
11.55	0.09735
11.58	0.09846
11.59	0.1045
11.6	0.1052
11.61	0.1121
11.63	0.1149
11.67	0.1322
11.69	0.1553
11.71	0.1672
11.72	0.168
11.75	0.1965
11.81	0.2459
12.09	0.2585
12.4	0.3123
12.45	0.3352
12.52	0.3794
12.6	0.4303
12.72	0.4856
12.88	0.56
12.94	0.5733
13.09	0.6037
13.21	0.6297
13.28	0.6382
13.48	0.687
13.6	0.7292
13.64	0.7334
13.83	0.7345
13.89	0.7356
