0	-0
0.02	-0.146
0.03	-0.1053
0.07	0.08933
0.08	-0.01733
0.09	0.02563
0.1	-0.09088
0.11	-0.054
0.13	-0.1756
0.14	-0.09542
0.15	-0.1971
0.17	-0.02859
0.21	-0.3698
0.25	-0.785
0.28	-0.5402
0.29	-0.363
0.31	-0.4777
0.33	-0.3241
0.36	-0.4943
0.39	-0.3471
0.41	0.05916
0.44	0.01052
0.46	-0.04321
0.52	0.2537
0.53	0.09774
0.55	0.3624
0.58	0.09368
0.59	0.153
0.61	-0.05452
0.62	0.06673
0.64	-0.1077
0.65	-0.2561
0.67	-0.08552
0.68	-0.2446
0.7	-0.3288
0.72	-0.1822
0.75	-0.05336
0.77	-0.008365
0.8	-0.05178
0.82	0.1305
0.86	-0.1842
0.87	-0.1108
0.88	-0.1704
0.91	0.03663
0.92	-0.1126
0.94	0.08373
0.96	-0.008857
0.97	0.03417
0.98	-0.006919
0.99	0.1703
1.03	0.02094
1.06	0.2258
1.07	0.1561
1.09	0.105
1.14	-0.3078
1.15	-0.2627
1.16	-0.3514
1.17	-0.2958
1.21	-0.5766
1.22	-0.336
1.24	-0.4316
1.25	-0.3803
1.27	-0.5122
1.29	-0.6249
1.3	-0.5896
1.32	-0.6878
1.34	-0.5769
1.35	-0.8569
1.36	-0.6909
1.37	-0.7763
1.39	-0.7276
1.41	-0.9063
1.43	-0.8626
1.44	-0.902
1.47	-0.8763
1.49	-0.7755
1.5	-0.8641
1.51	-0.817
1.54	-0.6787
1.56	-0.8169
1.58	-0.7045
1.59	-0.8197
1.6	-0.7438
1.61	-0.8767
1.65	-0.5074
1.67	-0.5655
1.7	-0.7122
1.71	-0.6586
1.72	-0.8568
1.74	-0.6476
1.75	-0.6872
1.77	-0.5213
1.79	-0.6112
1.8	-0.5499
1.82	-0.6451
1.85	-0.3001
1.87	-0.424
1.88	-0.3874
1.91	-0.6615
1.93	-0.3986
1.94	-0.5054
1.97	-0.2924
1.99	-0.3897
2	-0.3299
2.01	-0.4009
2.03	-0.2129
2.04	-0.2986
2.06	-0.1434
2.07	-0.2366
2.08	-0.1861
2.12	0.1369
2.13	-0.02465
2.14	0.04382
2.16	0.0817
2.17	-0.005115
2.19	0.1278
2.22	0.009238
2.24	0.2085
2.28	0.1541
2.29	0.1916
2.31	0.1086
2.32	0.231
2.36	0.02324
2.38	0.26
2.41	-0.01352
2.44	-0.1475
2.47	0.06073
2.48	-0.06557
2.5	0.03639
2.51	-0.01823
2.52	0.1046
2.53	0.05246
2.54	0.09845
2.6	-0.2931
2.62	-0.1624
2.65	-0.3187
2.66	-0.1315
2.68	-0.3623
